id,title,context,question,answers,answer_start
54,Test_54,Follow the manufacturers instructions regarding amounts and pour the descaler into the water tank. We recommend using Melitta® Anti Calc Liquid for Filter Coffee & Aqua Machines.,Which descaler can I use?,['Melitta® \x84Anti Calc Liquid for Filter Coffee & Aqua Machines'],118
55,Test_55,The descaling process will now run automatically. To remove even stubborn limescale the descaling process takes 25 minutes.,How long does the descaling program take?,['25 minutes'],112
56,Test_56,"When the descaling process is completed the light on the CALC button will go off. The appliance will turn off automatically. At the end of the descaling process, the appliance should be rinsed twice through, using the maximum amount of water without coffee. This will remove any remaining limescale deposits.",How to know if the descaling process is completed?,['the light on the CALC button will go off'],40
57,Test_57,"When the descaling process is completed the light on the CALC button will go off. The appliance will turn off automatically. At the end of the descaling process, the appliance should be rinsed twice through, using the maximum amount of water without coffee. This will remove any remaining limescale deposits.",How many times should the appliance be rinsed after the descaling program?,['twice'],193
58,Test_58,Electric appliances do not go in the household bin. Dispose of the appliance in an environmentally friendly way using suitable collection systems,Can the appliance be disposed in the household bin?,['Electric appliances do not go in the household bin'],0
59,Test_59,Do not open the filter holder during brewing. Do not use the appliance if the power cable is damaged. Do not allow the power cable to come into contact with liquids. Never immerse the appliance in water.,Can the filter handle be opened during the brewing process?,['Do not open the filter holder during brewing'],0
60,Test_60,Do not open the filter holder during brewing. Do not use the appliance if the power cable is damaged. Do not allow the power cable to come into contact with liquids. Never immerse the appliance in water.,Can I immerse the appliance in water?,['Never immerse the appliance in water'],166
61,Test_61,"Do not clean the parts that come into contact with food with aggressive cleaning agents or scouring cream. Remove detergent residues with clean water. Further information on cleaning can be found under ""Cleaning and care"".",Can the machine parts that come in contact with food be cleaned with a scouring cream?,['Do not clean the parts that come into contact with food with aggressive cleaning agents or scouring cream'],0
62,Test_62,"Do not use the jug in the microwave. Do not place the jug on a hot stove. Do not use the jug to store dairy products or baby food, as there is a risk of bacterial growth. Do not lay the filled jug on its side, as liquid may escape. Clean the outer casing with a soft, damp cloth.",Can the jug be used to store diary products?,"['Do not use the jug to store dairy products or baby food, as there is a risk of bacterial growth']",74
63,Test_63,"Do not use the jug in the microwave. Do not place the jug on a hot stove. Do not use the jug to store dairy products or baby food, as there is a risk of bacterial growth. Do not lay the filled jug on its side, as liquid may escape. Clean the outer casing with a soft, damp cloth.",How should the outer casing of the jug be cleaned?,"['Clean the outer casing with a soft, damp cloth']",232
64,Test_64,"Do not use the jug in the microwave. Do not place the jug on a hot stove. Do not use the jug to store dairy products or baby food, as there is a risk of bacterial growth. Do not lay the filled jug on its side, as liquid may escape. Clean the outer casing with a soft, damp cloth.",Can the filled jug be laid on its side?,"['Do not lay the filled jug on its side, as liquid may escape']",171
65,Test_65,"To prevent damage to the glass flask, do not use hard or sharpedged objects (e. g. cutlery, dishwashing brushes or similar) for stirring or cleaning and do not fill with ice cubes or carbonated liquids. Do not subject the glass flask to high temperature fluctuations.",How do I prevent damage to the glass flask?,"['do not use hard or sharpedged objects (e. g. cutlery, dishwashing brushes or similar) for stirring or cleaning and do not fill with ice cubes or carbonated liquids']",38
66,Test_66,"To prevent damage to the glass flask, do not use hard or sharpedged objects (e. g. cutlery, dishwashing brushes or similar) for stirring or cleaning and do not fill with ice cubes or carbonated liquids. Do not subject the glass flask to high temperature fluctuations.",Can the glass flask be subjected to high temperature change?,['Do not subject the glass flask to high temperature fluctuations'],203
67,Test_67,"Fill the water tank with the desired amount of water using the therm jug. With the help of the water level display on the tank ? you can choose the correct number of cups. Small cup symbol = approx. 85 ml coffee per cup, large cup symbol = approx. 125 ml coffee per cup.",What is the coffee quantity for the small cup symbol?,['approx. 85 ml coffee per cup'],191
68,Test_68,"Fill the water tank with the desired amount of water using the therm jug. With the help of the water level display on the tank ? you can choose the correct number of cups. Small cup symbol = approx. 85 ml coffee per cup, large cup symbol = approx. 125 ml coffee per cup.",What is the coffee quantity for the large cup symbol?,['approx. 125 ml coffee per cup'],240
69,Test_69,Put the ground coffee into the filter. The amount depends on your personal taste. We recommend using 6 g of ground coffee per large cup,How much ground coffee is recommended?,['6 g of ground coffee per large cup'],101
70,Test_70,"The appliance turns off automatically 15 minutes after it has been turned on. This avoids unnecessary use of electricity and saves energy. You can of course turn the machine off manually at any time. The drip stop ? prevents your coffee from dripping, when you remove the jug from the appliance.",Does the machine turn off automatically?,['The appliance turns off automatically 15 minutes after it has been turned on'],0
71,Test_71,"The appliance turns off automatically 15 minutes after it has been turned on. This avoids unnecessary use of electricity and saves energy. You can of course turn the machine off manually at any time. The drip stop ? prevents your coffee from dripping, when you remove the jug from the appliance.",What is the function of the drip stop?,"['prevents your coffee from dripping, when you remove the jug from the appliance']",216
72,Test_72,"The appliance housing and the external parts of the therm jug can be cleaned with a soft damp cloth. The swivel filter is detachable ? and can be cleaned in the dishwasher. The therm jug should be rinsed with hot water after each use. Stubborn coffee stains can be removed with Perfect Clean Accessories from MelittaR. Do not use hard or abrasive objects, which could damage the glass flask.",How should the swivel be cleaned?,['in the dishwasher'],154
73,Test_73,"The appliance housing and the external parts of the therm jug can be cleaned with a soft damp cloth. The swivel filter is detachable ? and can be cleaned in the dishwasher. The therm jug should be rinsed with hot water after each use. Stubborn coffee stains can be removed with Perfect Clean Accessories from MelittaR. Do not use hard or abrasive objects, which could damage the glass flask.",How to clean the external parts of the jug,['with a soft damp cloth'],77
74,Test_74,"The appliance housing and the external parts of the therm jug can be cleaned with a soft damp cloth. The swivel filter is detachable ? and can be cleaned in the dishwasher. The therm jug should be rinsed with hot water after each use. Stubborn coffee stains can be removed with Perfect Clean Accessories from MelittaR. Do not use hard or abrasive objects, which could damage the glass flask.",How to maintain the term jug?,['The therm jug should be rinsed with hot water after each use'],173
75,Test_75,"The appliance housing and the external parts of the therm jug can be cleaned with a soft damp cloth. The swivel filter is detachable ? and can be cleaned in the dishwasher. The therm jug should be rinsed with hot water after each use. Stubborn coffee stains can be removed with Perfect Clean Accessories from MelittaR. Do not use hard or abrasive objects, which could damage the glass flask.",How to remove coffee stains from the appliance?,['with \x93Perfect Clean Accessories\x94 from MelittaR'],273
76,Test_76,Packaging materials are raw materials and can be recycled. Please recycle them.,What should be done with the packaging material?,['Please recycle them'],59
77,Test_77,Risk of burns and scalds. Escaping fluids and steam may be very hot. The nozzles on the outlet can also become very hot.,What is the risk of burns?,['Escaping fluids and steam may be very hot'],26
78,Test_78,"You can very simply navigate through the menu with the ""Rotary Switch"". Press the ""Rotary Switch"" for longer than 2 seconds to call up the Programmes menu. You can select an entry by turn­ing the ""Rotary Switch"".  By pressing briefly, you can con­firm a selection or leave a menu that has no available options.",How to navigate through the menu?,"['with the ""Rotary Switch""']",46
79,Test_79,"You can very simply navigate through the menu with the ""Rotary Switch"". Press the ""Rotary Switch"" for longer than 2 seconds to call up the Programmes menu. You can select an entry by turn­ing the ""Rotary Switch"".  By pressing briefly, you can con­firm a selection or leave a menu that has no available options.",How to call the Programmes menu?,"['Press the ""Rotary Switch"" for longer than 2 seconds']",72
80,Test_80,"You can very simply navigate through the menu with the ""Rotary Switch"". Press the ""Rotary Switch"" for longer than 2 seconds to call up the Programmes menu. You can select an entry by turn­ing the ""Rotary Switch"".  By pressing briefly, you can con­firm a selection or leave a menu that has no available options.",How to confirm a selection?,['By pressing briefly'],214
81,Test_81,"Remove the packaging material, the adhe­sive strips and the protective films from the appliance. Please keep the original packaging. The appliance has been tested in the factory to ensure that it functions perfectly. Therefore, the appliance may still contain traces of coffee and water.",Can I dispose the original packaging?,['Please keep the original packaging'],97
82,Test_82,"Remove the packaging material, the adhe­sive strips and the protective films from the appliance. Please keep the original packaging. The appliance has been tested in the factory to ensure that it functions perfectly. Therefore, the appliance may still contain traces of coffee and water.",Is it strange that my new appliance contains coffee and water?,"['The appliance has been tested in the factory to ensure that it functions perfectly. Therefore, the appliance may still contain traces of coffee and water.']",133
83,Test_83,"Install the appliance in a dry room. Install the appliance on a stable, flat and dry surface. The surface may not be hot. The appliance may not be placed in the vicinity of sinks or the like. Install the appliance at a sufficient distance (approx. 10 cm) from the wall and other objects. The space above the appliance should be at least 20 cm. Route the power cable so it does not lie over edges or cannot be damaged by hot surfaces. ",What type of room should the appliance be installed in?,['a dry room'],25
84,Test_84,"Install the appliance in a dry room. Install the appliance on a stable, flat and dry surface. The surface may not be hot. The appliance may not be placed in the vicinity of sinks or the like. Install the appliance at a sufficient distance (approx. 10 cm) from the wall and other objects. The space above the appliance should be at least 20 cm. Route the power cable so it does not lie over edges or cannot be damaged by hot surfaces. ",Can the installation surface be hot?,['The surface may not be hot'],94
